comm_id,name,cntr_code,osm_id_commune,osm_name,osm_role_point,lon,lat,NUTS23_id,osm_id_NUTS23
FR3162292119,Béthune,FR,1016146,Béthune,admin_centre,2.647810,50.519900,FR302,7394
FR3162212035,Annezin,FR,1016200,Annezin,admin_centre,2.619300,50.541500,FR302,7394
BE241011,Denderleeuw,BE,1021359,Denderleeuw,admin_centre,4.071241,50.887206,BE23,53135
BE241024,Haaltert,BE,1021369,Haaltert,admin_centre,4.005772,50.902253,BE23,53135
FR3162270520,Locon,FR,1021584,Locon,admin_centre,2.666170,50.570500,FR302,7394
FR3159429497,Renescure,FR,102272,Renescure,admin_centre,2.369521,50.727611,FR301,7400
FR3159429366,Lynde,FR,102874,Lynde,admin_centre,2.422276,50.712934,FR301,7400
FR3159429184,Ebblinghem,FR,102880,Ebblinghem,admin_centre,2.418938,50.735408,FR301,7400
FR3159429577,Staple,FR,102892,Staple,admin_centre,2.457684,50.749215,FR301,7400
FR3159416054,Bavinchove,FR,102899,Bavinchove,admin_centre,2.455894,50.786146,FR301,7400
FR3159416454,Oxelaëre,FR,102905,Oxelaëre,admin_centre,2.476606,50.787558,FR301,7400
FR2202230676,Saint-Erme-Outre-et-Ramecourt,FR,1029505,Saint-Erme-Outre-et-Ramecourt,admin_centre,3.839850,49.515100,FR221,7411
FR3159460546,Saint-Sylvestre-Cappel,FR,103076,Saint-Sylvestre-Cappel,admin_centre,2.557074,50.777834,FR301,7400
FR3159416536,Sainte-Marie-Cappel,FR,103083,Sainte-Marie-Cappel,admin_centre,2.514544,50.779435,FR301,7400
FR3159460189,Eecke,FR,103091,Eecke,admin_centre,2.597334,50.781907,FR301,7400
FR3159416135,Cassel,FR,103113,"{'ref:INSEE': '59135', 'name:fr': 'Cassel', 'population': '2200', 'name:nl': 'Kassel', 'ref:FR:SIREN': '215901356', 'addr:postcode': '59670', 'place': 'village'}",admin_centre,2.486388,50.800161,FR301,7400
FR3159460587,Terdeghem,FR,103125,"{'ref:INSEE': '59587', 'name:fr': 'Terdeghem', 'population': '554', 'place': 'village', 'source:population': 'INSEE 2013', 'addr:postcode': '59114', 'ref:FR:SIREN': '215905878'}",admin_centre,2.539150,50.799005,FR301,7400
FR4157423156,Courcelles-sur-Nied,FR,1043582,Courcelles-sur-Nied,admin_centre,6.308325,49.066529,FR413,51854
FR4157423627,Sanry-sur-Nied,FR,1043606,Sanry-sur-Nied,admin_centre,6.344672,49.053253,FR413,51854
FR4154218373,Moncel-lès-Lunéville,FR,104428,Moncel-lès-Lunéville,admin_centre,6.529600,48.574500,FR411,51856
FR4154204097,Bréménil,FR,104740,Bréménil,admin_centre,6.919443,48.524078,FR411,51856
FR4155306297,Lissey,FR,1050339,Lissey,admin_centre,5.346285,49.372617,FR412,7382
FR4157433447,Marly,FR,106192,Marly,admin_centre,6.154572,49.060024,FR413,51854
FR4157420480,Montigny-lès-Metz,FR,106211,Montigny-lès-Metz,admin_centre,6.153041,49.099983,FR413,51854
FR4157433162,Cuvry,FR,106420,Cuvry,admin_centre,6.160051,49.043809,FR413,51854
FR4157433552,Pouilly,FR,106425,Pouilly,admin_centre,6.186651,49.051143,FR413,51854
FR4157423385,Laquenexy,FR,106437,Laquenexy,admin_centre,6.314131,49.078465,FR413,51854
FR4157423031,Ars-Laquenexy,FR,106442,Ars-Laquenexy,admin_centre,6.272642,49.094592,FR413,51854
FR4157423145,Coincy,FR,106448,{'traffic_calming': 'table'},admin_centre,6.283095,49.109509,FR413,51854
FR4157435510,Noisseville,FR,106467,Noisseville,admin_centre,6.274438,49.135202,FR413,51854
FR4157435512,Nouilly,FR,106469,Nouilly,admin_centre,6.258074,49.136332,FR413,51854
FR4157420467,Mey,FR,106479,Mey,admin_centre,6.236554,49.137198,FR413,51854
FR4157420693,Vantoux,FR,106484,Vantoux,admin_centre,6.231324,49.130537,FR413,51854
FR4157420142,Chieulles,FR,106499,Chieulles,admin_centre,6.228199,49.159610,FR413,51854
FR4157435129,Charly-Oradour,FR,106507,Charly-Oradour,admin_centre,6.239984,49.174947,FR413,51854
FR4157435438,Malroy,FR,106511,Malroy,admin_centre,6.213000,49.176885,FR413,51854
FR4157420616,Saint-Julien-lès-Metz,FR,106521,Saint-Julien-lès-Metz,admin_centre,6.203315,49.134754,FR413,51854
FR4157437452,La Maxe,FR,106527,La Maxe,admin_centre,6.189676,49.169395,FR413,51854
BE244052,Oosterzele,BE,1066186,Oosterzele,centroid,3.797152,50.938795,BE23,53135
FR4157109007,Adaincourt,FR,106752,Adaincourt,admin_centre,6.437114,49.006394,FR413,51854
FR4157721001,Aboncourt,FR,106753,Aboncourt,admin_centre,6.346155,49.260096,FR413,51854
FR4157109008,Adelange,FR,106759,Adelange,admin_centre,6.614625,49.005816,FR413,51854
FR4157448017,Amanvillers,FR,106783,Amanvillers,admin_centre,6.043621,49.167449,FR413,51854
FR4157423020,Ancerville,FR,106787,Ancerville,admin_centre,6.387694,49.031035,FR413,51854
FR4157435024,Antilly,FR,106794,Antilly,admin_centre,6.251599,49.195816,FR413,51854
FR4154204075,Bionville,FR,106796,Bionville,admin_centre,7.011345,48.484802,FR411,51856
FR4157435028,Argancy,FR,106798,Argancy,admin_centre,6.201819,49.196041,FR413,51854
FR4157109027,Arraincourt,FR,106802,Arraincourt,admin_centre,6.532000,48.972499,FR413,51854
FR4157109029,Arriance,FR,106803,Arriance,admin_centre,6.497070,49.019929,FR413,51854
FR4157413032,Ars-sur-Moselle,FR,106809,Ars-sur-Moselle,admin_centre,6.075163,49.078398,FR413,51854
FR4157420039,Augny,FR,106814,Augny,admin_centre,6.121921,49.059368,FR413,51854
BE223105,Affligem,BE,1069815,Affligem,centroid,4.115711,50.904237,BE24,58004
BE223086,Ternat,BE,1069836,Ternat,admin_centre,4.175697,50.871339,BE24,58004
BE223097,Roosdaal,BE,1069845,Roosdaal,centroid,4.097298,50.837544,BE24,58004
BE223024,Gooik,BE,1069849,Gooik,admin_centre,4.115680,50.795697,BE24,58004
BE223023,Galmaarden / Gammerages,BE,1069858,Galmaarden,admin_centre,3.971001,50.752459,BE24,58004
FR4157207040,Aulnois-sur-Seille,FR,106995,Aulnois-sur-Seille,admin_centre,6.314729,48.867650,FR413,51854
FR4157435043,Ay-sur-Moselle,FR,107007,Ay-sur-Moselle,admin_centre,6.208948,49.243499,FR413,51854
FR4157109047,Bambiderstroff,FR,107013,Bambiderstroff,admin_centre,6.593107,49.103471,FR413,51854
